feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
comparision,5.0,0.3912244818827134,MEU,Model 1,
fischer,5.0,0.3336030804855225,MEU,Model 1,
jecfa,5.0,0.2546589231837371,MEU,Model 1,
additive,5.0,0.20382441890281247,MEU,Model 1,
karl,5.0,0.18836159485835602,MEU,Model 1,
comparativesolution,5.0,0.1761653796652175,MEU,Model 1,
aocs,5.0,0.16643787597945306,MEU,Model 1,
fine,5.0,0.16457472468433013,MEU,Model 1,
anhydrous,5.0,0.09327126505396521,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Min Remaining SL Upon Receipt,5.0,0.09301341228576301,MEU,Model 1,
powder,5.0,0.06806566082420615,MEU,Model 1,
encapsulated,5.0,0.06167439444724692,MEU,Model 1,
citricacid,5.0,0.06135785810060011,MEU,Model 1,
thiswillbeharmonizedto,5.0,0.03544114287728685,MEU,Model 1,
encaps,5.0,0.03511985809323406,MEU,Model 1,
gmo,5.0,0.03353281770800452,MEU,Model 1,
crystals,5.0,0.03197202072977033,MEU,Model 1,
granular,5.0,0.030966624236027782,MEU,Model 1,
use,5.0,0.03084074222152633,MEU,Model 1,
opalescencesolution,5.0,0.028608307683821735,MEU,Model 1,
soln,5.0,0.028063116749440366,MEU,Model 1,
harmonized,5.0,0.026184040664830495,MEU,Model 1,
medium,5.0,0.019785495862378547,MEU,Model 1,
mediumgran,5.0,0.01833773861820485,MEU,Model 1,
monohydrate,5.0,0.017585111630263224,MEU,Model 1,
non,5.0,0.0164348842341925,MEU,Model 1,
comparison,5.0,0.014511096358606852,MEU,Model 1,
color,5.0,0.01445913062716437,MEU,Model 1,
citricacidnon,5.0,0.013290864104352712,MEU,Model 1,
jab,5.0,0.010723962741577008,MEU,Model 1,
ngm,5.0,0.010193773056530856,MEU,Model 1,
gran,5.0,0.010165638903933091,MEU,Model 1,
hplc,5.0,0.0,MEU,Model 1,
citricacidmonohydratedfinegranular,5.0,0.0,MEU,Model 1,
cformin,5.0,0.0,MEU,Model 1,
donot,5.0,0.0,MEU,Model 1,
citricacidmonohydrate,5.0,0.0,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Total Shelf Life,6.0,1.0,MEU,Model 1,
citric,6.0,0.7261280319647875,MEU,Model 1,
"Quantitative - Ash, sulphated - Max",6.0,0.5058465235544628,MEU,Model 1,
soln,6.0,0.4900004810408066,MEU,Model 1,
acid,6.0,0.40371174776203694,MEU,Model 1,
karl,6.0,0.3932347775397506,MEU,Model 1,
Total Solids %,6.0,0.3838577991055464,MEU,Model 1,
Quantitative - Moisture - Max,6.0,0.3821549422560415,MEU,Model 1,
others,6.0,0.32391939835071215,MEU,Model 1,
Quantitative - Assay (anhydrous basis) - Max,6.0,0.27983272609717535,MEU,Model 1,
"Standard Composition - CITRIC ACID - Value, %",6.0,0.2679196806092757,MEU,Model 1,
citricacid,6.0,0.23970480785360448,MEU,Model 1,
water,6.0,0.21271772467715233,MEU,Model 1,
fischer,6.0,0.2038970651830815,MEU,Model 1,
additive,6.0,0.13209366904393244,MEU,Model 1,
ph,6.0,0.12772650460279467,MEU,Model 1,
eur,6.0,0.12382891267924097,MEU,Model 1,
monohydrated,6.0,0.10271926123161919,MEU,Model 1,
fcc,6.0,0.10006089588791299,MEU,Model 1,
colour,6.0,0.09669314535113448,MEU,Model 1,
monograph,6.0,0.09118343940311134,MEU,Model 1,
ngm,6.0,0.08436976041261254,MEU,Model 1,
powder,6.0,0.08335009091213712,MEU,Model 1,
encapsulated,6.0,0.06910205027128,MEU,Model 1,
Quantitative - Sulphates - Max,6.0,0.06638282906502431,MEU,Model 1,
jab,6.0,0.06545929660758587,MEU,Model 1,
anhydrous,6.0,0.0609665840872565,MEU,Model 1,
jecfa,6.0,0.058835181183263474,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Min Remaining SL Upon Receipt,6.0,0.05728952849265357,MEU,Model 1,
comparision,6.0,0.05664658461301355,MEU,Model 1,
min,6.0,0.038476012503157075,MEU,Model 1,
