Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000006846,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000007251,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000007732,0.8727749091678959,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000007977,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000008049,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000001439,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000006808,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000000289,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000000616,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000000723,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000005407,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
